App_Name,Adam_ID,Categories,Additional_Info,iTunes_URL
iTranslate,288113403,4,,https://itunes.apple.com/us/app/itranslate-translator/id288113403?mt=8
Itsy Bitsy Spider HD - by Duck Duck Moose,378995141,"14, h",,https://itunes.apple.com/us/app/itsy-bitsy-spider-hd-by-duck-duck-moose/id378995141?mt=8
iTunes U,490217893,a,,https://itunes.apple.com/us/app/itunes-u/id490217893?mt=8
Jump Numbers,1073602039,19,,https://itunes.apple.com/us/app/jump-numbers/id1073602039?mt=8
Keedogo,915829477,4,,https://itunes.apple.com/us/app/keedogo-keyboard-for-preschool/id915829477?mt=8
Keedogo Plus,918496636,4,,https://itunes.apple.com/us/app/keedogo-plus-keyboard-for-education/id918496636?mt=8
Keynote,361285480,"1, 5, a, c",,https://itunes.apple.com/us/app/keynote/id361285480?mt=8
Khan Academy,469863705,a,,https://itunes.apple.com/us/app/khan-academy-you-can-learn/id469863705?mt=8
Kids A-Z,474207297,h,Requires Learning A-Z subscription(s),https://itunes.apple.com/us/app/kids-a-z/id474207297?mt=8
Laugh & Learn™ Learning Letters Monkey App,525811595,14,,https://itunes.apple.com/us/app/laugh-learn-learning-letters-monkey-app/id525811595?mt=8
Learn Colors App Shapes Preschool Games for Kids,711246884,14,,https://itunes.apple.com/us/app/learn-colors-app-shapes-preschool-games-for-kids/id711246884?mt=8
Learns the colors - Buddy's ABA Apps,516516833,14,,https://itunes.apple.com/jp/app/learns-the-colors-buddys-aba-apps/id516516833?l=en&mt=8
LEGO® Creator Islands,893521440,6,,https://itunes.apple.com/us/app/lego-creator-islands/id893521440?mt=8
LEGO® DUPLO® Train,668416040,6,,https://itunes.apple.com/us/app/lego-duplo-train/id668416040?mt=8
Lily - Playful Music Creation,1135596302,12,,https://itunes.apple.com/us/app/lily-playful-music-creation/id1135596302?mt=8
Line 'em Up,419041848,19,,https://itunes.apple.com/us/app/line-em-up/id419041848?mt=8&uo=4
Lobster Diver HD,416610863,19,,https://itunes.apple.com/us/app/lobster-diver-hd/id416610863?mt=8
Long Division Touch,574226151,"15, a",,https://itunes.apple.com/us/app/long-division-touch/id574226151?mt=8
Make 10 Plus,630033796,19,,https://itunes.apple.com/us/app/make-10-plus/id630033796?mt=8&uo=4
Make Another Number Sentence,1075451154,19,,https://itunes.apple.com/us/app/make-another-number-sentence/id1075451154?mt=8
Makers Empire 3D,867338125,9,,https://itunes.apple.com/us/app/makers-empire-3d-3d-modeling/id867338125?mt=8
Marlee Signs,566054855,"16, g",,https://itunes.apple.com/us/app/marlee-signs/id566054855?mt=8
Match & Find,833434155,14,,https://itunes.apple.com/us/app/match-find/id833434155?mt=8
Match & Learn The Professions,1003850624,14,,https://itunes.apple.com/us/app/match-and-learn-the-professions-by-petita-demas/id1003850624?mt=8
Match-Up Multiplication,344993057,19,,https://itunes.apple.com/us/app/match-up-multiplication/id344993057?mt=8
Math Keyboard,917470088,4,,https://itunes.apple.com/us/app/the-math-keyboard/id917470088?mt=8
Math Slide: addition & subtraction,588603890,19,,https://itunes.apple.com/us/app/math-slide-addition-subtraction/id588603890?mt=8&uo=4
"Math Slide: hundreds, tens & ones",586366338,19,,https://itunes.apple.com/us/app/math-slide-tens-ones/id586366338?mt=8&uo=4
Math Slide: multiplication & division,588829554,19,,https://itunes.apple.com/us/app/math-slide-multiplication/id588829554?mt=8
Math Slide: tens & ones,586366338,19,,https://itunes.apple.com/us/app/math-slide-tens-ones/id586366338?mt=8&uo=4
Mathsterious Mansion,834068236,19,,https://itunes.apple.com/us/app/mathsterious-mansion/id834068236?mt=8
MathTappers: ClockMaster - a math game to help children learn to read clocks,336932114,19,,https://itunes.apple.com/us/app/mathtappers-clockmaster-math/id336932114?mt=8
MathTappers: Equivalents,446293651,19,,https://itunes.apple.com/us/app/mathtappers-equivalents/id446293651?mt=8
MathTappers: Estimate Fractions - a math game to h,353282053,19,,https://itunes.apple.com/us/app/mathtappers-estimate-fractions-math-game-to-help-children/id353282053?mt=8
MathTappers: Find Sums – a math game to help children learn basic facts for addition and subtraction,353582286,19,,https://itunes.apple.com/us/app/mathtappers-find-sums-math/id353582286?mt=8&uo=4
MathTappers: Multiples - a math game to help child,371520443,19,,https://itunes.apple.com/us/app/mathtappers-multiples-math-game-to-help-children-learn/id371520443?mt=8
"MathTappers: Numberline - a math game to help children learn whole numbers, integers & real numbers",463632109,19,,https://itunes.apple.com/us/app/mathtappers-numberline-math/id463632109?mt=8
Missing Numbers,558503715,19,,https://itunes.apple.com/us/app/missing-numbers/id558503715?mt=8
"Money Pieces, by the Math Learning Center",1055394278,19,,https://itunes.apple.com/us/app/money-pieces-by-the-math-learning-center/id1055394278?mt=8
Monkey Preschool Explorers,888424846,14,,https://itunes.apple.com/us/app/monkey-preschool-explorers/id888424846?mt=8
Monkey Preschool Fix-It,695888236,14,,https://itunes.apple.com/us/app/monkey-preschool-fix-it/id695888236?mt=8
Monkey Preschool Lunchbox,328205875,14,,https://itunes.apple.com/us/app/monkey-preschool-lunchbox/id328205875?mt=8
MonsterMe by MonsterCreate,1016620501,9,,https://itunes.apple.com/us/app/monsterme-by-monstercreate/id1016620501?mt=8
Montessori 1st Operations - addition & subtraction,627950311,14,,https://itunes.apple.com/us/app/montessori-1st-operations-addition-subtraction-made/id627950311?mt=8
Montessori Crosswords - Fun Phonics Game for Kids,384334005,"14, h",,https://itunes.apple.com/us/app/montessori-crosswords-fun-phonics-game-for-kids/id384334005?mt=8
"Montessori for kids, A preschool game to teach you",949784506,14,,https://itunes.apple.com/us/app/montessori-for-kids-preschool-game-to-teach-your-child/id949784506?mt=8
Montessori Geometry - Recognize and learn shapes,544726604,14,,https://itunes.apple.com/us/app/montessori-geometry-recognize-and-learn-shapes/id544726604?mt=8
Montessori Math City,913211287,14,,https://itunes.apple.com/us/app/montessori-math-city/id913211287?mt=8
Montessori Math: Add & Subtract Large Numbers,661156236,14,,https://itunes.apple.com/us/app/montessori-math-add-subtract-large-numbers/id661156236?mt=8
Montessori Math: Multiplication,847522661,14,,https://itunes.apple.com/us/app/montessori-math-multiplication/id847522661?mt=8
Montessori Number Sequencing,490718968,14,,https://itunes.apple.com/us/app/montessori-number-sequencing/id490718968?mt=8
Montessori Numberland,388154228,14,,https://itunes.apple.com/us/app/montessori-numberland/id388154228?mt=8
Montessori Numbers - Learn to Count from 1 to 1000,547209737,14,,https://itunes.apple.com/us/app/montessori-numbers-learn-to-count-from-1-to-1000-other/id547209737?mt=8
Montessori Preschool,1138436619,14,,https://itunes.apple.com/us/app/montessori-preschool/id1138436619?mt=8
Montessorium: Intro to Colors,630682398,14,,https://itunes.apple.com/us/app/montessorium-intro-to-colors/id630682398?mt=8
Moose Math - by Duck Duck Moose,660345152,19,,https://itunes.apple.com/us/app/moose-math-by-duck-duck-moose/id660345152?mt=8
Mosaics - Arrange colorful pieces to form a mosaic,1186205878,14,,https://itunes.apple.com/us/app/mosaics-arrange-colorful-pieces-to-form-a-mosaic/id1186205878?mt=8
Motion Math,1300888687,19,,https://itunes.apple.com/us/app/motion-math/id1300888687?mt=8
Motion Math: Hungry Fish,483049169,19,,https://itunes.apple.com/us/app/motion-math-hungry-fish/id483049169?mt=8
Motion Math: Hungry Guppy Edu,1101336331,19,,https://itunes.apple.com/us/app/motion-math-hungry-guppy-edu/id1101336331?mt=8
Motion Math: Zoom,451793073,19,,https://itunes.apple.com/us/app/motion-math-zoom/id451793073?mt=8
Music Sparkles - Full Version,493866341,12,,https://itunes.apple.com/us/app/music-sparkles-full-version/id493866341?mt=8
Musical Me! HD - by Duck Duck Moose,443357943,"12, a, h",,https://itunes.apple.com/us/app/musical-me-hd-by-duck-duck-moose/id443357943?mt=8
Musical Paint For Kids,577535521,12,,https://itunes.apple.com/us/app/musical-paint-for-kids/id577535521?mt=8
My First Keyboard,924324310,4,,https://itunes.apple.com/us/app/my-first-keyboard/id924324310?mt=8
My First Tangrams HD - A Wood Tangram Puzzle Game,512026838,19,,https://itunes.apple.com/us/app/my-first-tangrams-hd-wood-tangram-puzzle-game-for-kids/id512026838?mt=8
My Playhome,439628153,6,,https://itunes.apple.com/us/app/my-playhome/id439628153?mt=8
